+----------------------------------------------------------------------------------------------------------------+------------------------------------------------------------+----------+
| Class                                                                                                          | Registry name                                              | Ticking? |
| teamroots.embers.tileentity.TileEntityPulser                                                                   | embers:tile_entity_pulser                                  |      yes |
| teamroots.embers.tileentity.TileEntityPumpBottom                                                               | embers:tile_entity_pump_bottom                             |      yes |
| teamroots.embers.tileentity.TileEntityPumpTop                                                                  | embers:tile_entity_pump_top                                |        - |
| teamroots.embers.tileentity.TileEntityReactionChamber                                                          | embers:tile_entity_reaction_chamber                        |      yes |
| teamroots.embers.tileentity.TileEntityReactor                                                                  | embers:tile_entity_reactor                                 |      yes |
| teamroots.embers.tileentity.TileEntityReceiver                                                                 | embers:tile_entity_receiver                                |      yes |
| teamroots.embers.tileentity.TileEntityRelay                                                                    | embers:tile_entity_relay                                   |      yes |
| teamroots.embers.tileentity.TileEntitySeed                                                                     | embers:tile_entity_seed                                    |      yes |
| teamroots.embers.tileentity.TileEntitySeedNew                                                                  | embers:tile_entity_seed_new                                |      yes |
| teamroots.embers.tileentity.TileEntityStampBase                                                                | embers:tile_entity_stamp_base                              |        - |
| teamroots.embers.tileentity.TileEntityStamper                                                                  | embers:tile_entity_stamper                                 |      yes |
| teamroots.embers.tileentity.TileEntityStirling                                                                 | embers:tile_entity_stirling                                |      yes |
| teamroots.embers.tileentity.TileEntityStoneValve                                                               | embers:tile_entity_stone_valve                             |      yes |
| teamroots.embers.tileentity.TileEntityTank                                                                     | embers:tile_entity_tank                                    |      yes |
| vazkii.botania.common.block.tile.TileAlfPortal                                                                 | botania:alfheimportal                                      |      yes |
| vazkii.botania.common.block.tile.TileAltar                                                                     | botania:altar                                              |      yes |
| vazkii.botania.common.block.tile.TileAnimatedTorch                                                             | botania:animatedtorch                                      |      yes |
| vazkii.botania.common.block.tile.TileAvatar                                                                    | botania:avatar                                             |      yes |
| vazkii.botania.common.block.tile.TileBifrost                                                                   | botania:bifrost                                            |      yes |
| vazkii.botania.common.block.tile.TileBrewery                                                                   | botania:brewery                                            |      yes |
| vazkii.botania.common.block.tile.TileCacophonium                                                               | botania:cacophoniumblock                                   |        - |
| vazkii.botania.common.block.tile.TileCell                                                                      | botania:cellblock                                          |        - |
| vazkii.botania.common.block.tile.TileCocoon                                                                    | botania:cocoon                                             |      yes |
| vazkii.botania.common.block.tile.TileCraftCrate                                                                | botania:craftcrate                                         |      yes |
| vazkii.botania.common.block.tile.TileEnchanter                                                                 | botania:enchanter                                          |      yes |
| vazkii.botania.common.block.tile.TileEnderEye                                                                  | botania:endereyeblock                                      |      yes |
| vazkii.botania.common.block.tile.TileFakeAir                                                                   | botania:fakeair                                            |        - |
| vazkii.botania.common.block.tile.TileFloatingFlower                                                            | botania:miniisland                                         |        - |
| vazkii.botania.common.block.tile.TileFloatingSpecialFlower                                                     | botania:floatingspecialflower                              |      yes |
| vazkii.botania.common.block.tile.TileForestEye                                                                 | botania:foresteye                                          |      yes |
| vazkii.botania.common.block.tile.TileGaiaHead                                                                  | botania:gaiaheadblock                                      |      yes |
| vazkii.botania.common.block.tile.TileHourglass                                                                 | botania:hourglass                                          |      yes |
| vazkii.botania.common.block.tile.TileIncensePlate                                                              | botania:incenseplate                                       |      yes |
| vazkii.botania.common.block.tile.TileLightRelay                                                                | botania:lightrelay                                         |      yes |
| vazkii.botania.common.block.tile.TileManaFlame                                                                 | botania:manaflame                                          |      yes |
| vazkii.botania.common.block.tile.TileOpenCrate                                                                 | botania:opencrate                                          |      yes |
| vazkii.botania.common.block.tile.TilePlatform                                                                  | botania:platform                                           |        - |
| vazkii.botania.common.block.tile.TilePylon                                                                     | botania:pylon                                              |      yes |
| vazkii.botania.common.block.tile.TileRuneAltar                                                                 | botania:runealtar                                          |      yes |
| vazkii.botania.common.block.tile.TileSparkChanger                                                              | botania:sparkchanger                                       |        - |
| vazkii.botania.common.block.tile.TileSpawnerClaw                                                               | botania:spawnerclaw                                        |      yes |
| vazkii.botania.common.block.tile.TileSpecialFlower                                                             | botania:specialflower                                      |      yes |
| vazkii.botania.common.block.tile.TileStarfield                                                                 | botania:starfield                                          |      yes |
| vazkii.botania.common.block.tile.TileTerraPlate                                                                | botania:terraplate                                         |      yes |
| vazkii.botania.common.block.tile.TileTeruTeruBozu                                                              | botania:teruterubozu                                       |      yes |
| vazkii.botania.common.block.tile.TileTinyPlanet                                                                | botania:tinyplanetblock                                    |      yes |
| vazkii.botania.common.block.tile.TileTinyPotato                                                                | botania:tinypotato                                         |      yes |
| vazkii.botania.common.block.tile.corporea.TileCorporeaCrystalCube                                              | botania:corporeacrystalcube                                |      yes |
| vazkii.botania.common.block.tile.corporea.TileCorporeaFunnel                                                   | botania:corporeafunnel                                     |        - |
| vazkii.botania.common.block.tile.corporea.TileCorporeaIndex                                                    | botania:corporeaindex                                      |      yes |
| vazkii.botania.common.block.tile.corporea.TileCorporeaInterceptor                                              | botania:corporeainterceptor                                |        - |
| vazkii.botania.common.block.tile.corporea.TileCorporeaRetainer                                                 | botania:corporearetainer                                   |        - |
| vazkii.botania.common.block.tile.mana.TileBellows                                                              | botania:bellows                                            |      yes |
| vazkii.botania.common.block.tile.mana.TileDistributor                                                          | botania:distributor                                        |      yes |
| vazkii.botania.common.block.tile.mana.TileManaDetector                                                         | botania:manadetector                                       |      yes |
| vazkii.botania.common.block.tile.mana.TileManaVoid                                                             | botania:manavoid                                           |        - |
| vazkii.botania.common.block.tile.mana.TilePool                                                                 | botania:pool                                               |      yes |
| vazkii.botania.common.block.tile.mana.TilePrism                                                                | botania:prism                                              |        - |
| vazkii.botania.common.block.tile.mana.TilePump                                                                 | botania:pump                                               |      yes |
| vazkii.botania.common.block.tile.mana.TileRFGenerator                                                          | botania:rfgenerator                                        |      yes |
| vazkii.botania.common.block.tile.mana.TileSpreader                                                             | botania:spreader                                           |      yes |
| vazkii.botania.common.block.tile.mana.TileTurntable                                                            | botania:turntable                                          |      yes |
| vazkii.botania.common.block.tile.string.TileRedStringComparator                                                | botania:redstringcomparator                                |      yes |
| vazkii.botania.common.block.tile.string.TileRedStringContainer                                                 | botania:redstringcontainer                                 |      yes |
| vazkii.botania.common.block.tile.string.TileRedStringDispenser                                                 | botania:redstringdispenser                                 |      yes |
| vazkii.botania.common.block.tile.string.TileRedStringFertilizer                                                | botania:redstringfertilizer                                |      yes |
| vazkii.botania.common.block.tile.string.TileRedStringInterceptor                                               | botania:redstringinterceptor                               |      yes |
| vazkii.botania.common.block.tile.string.TileRedStringRelay                                                     | botania:redstringrelay                                     |      yes |
| wards.block.TileEntityWard                                                                                     | wards:ward                                                 |      yes |
| wile.engineersdecor.blocks.BlockDecorBreaker$BTileEntity                                                       | engineersdecor:te_small_block_breaker                      |      yes |
| wile.engineersdecor.blocks.BlockDecorCraftingTable$BTileEntity                                                 | engineersdecor:te_crafting_table                           |        - |
| wile.engineersdecor.blocks.BlockDecorDropper$BTileEntity                                                       | engineersdecor:te_factory_dropper                          |      yes |
| wile.engineersdecor.blocks.BlockDecorFluidFunnel$BTileEntity                                                   | engineersdecor:te_small_fluid_funnel                       |      yes |
| wile.engineersdecor.blocks.BlockDecorFurnace$BTileEntity                                                       | engineersdecor:te_small_lab_furnace                        |      yes |
| wile.engineersdecor.blocks.BlockDecorFurnaceElectrical$BTileEntity                                             | engineersdecor:te_electrical_lab_furnace                   |      yes |
| wile.engineersdecor.blocks.BlockDecorHopper$BTileEntity                                                        | engineersdecor:te_factory_hopper                           |      yes |
| wile.engineersdecor.blocks.BlockDecorLabeledCrate$LabeledCrateTileEntity                                       | engineersdecor:te_labeled_crate                            |        - |
| wile.engineersdecor.blocks.BlockDecorMilker$BTileEntity                                                        | engineersdecor:te_small_milking_machine                    |      yes |
| wile.engineersdecor.blocks.BlockDecorMineralSmelter$BTileEntity                                                | engineersdecor:te_small_mineral_smelter                    |      yes |
| wile.engineersdecor.blocks.BlockDecorPassiveFluidAccumulator$BTileEntity                                       | engineersdecor:te_passive_fluid_accumulator                |      yes |
| wile.engineersdecor.blocks.BlockDecorPipeValve$BTileEntity                                                     | engineersdecor:te_pipe_valve                               |        - |
| wile.engineersdecor.blocks.BlockDecorPlacer$BTileEntity                                                        | engineersdecor:te_factory_placer                           |      yes |
| wile.engineersdecor.blocks.BlockDecorSolarPanel$BTileEntity                                                    | engineersdecor:te_small_solar_panel                        |      yes |
| wile.engineersdecor.blocks.BlockDecorTreeCutter$BTileEntity                                                    | engineersdecor:te_small_tree_cutter                        |      yes |
| wile.engineersdecor.blocks.BlockDecorWasteIncinerator$BTileEntity                                              | engineersdecor:te_small_waste_incinerator                  |      yes |
| workbench.botanianeedsit.common.tile.ManaChargerTile                                                           | botanianeedsit:mana_charger                                |      yes |
| zairus.megaloot.tileentity.MLTileEntityDisenchanter                                                            | minecraft:tileentitydisenchanter                           |      yes |
| zairus.megaloot.tileentity.MLTileEntityEvolutionChamber                                                        | minecraft:tileentityevolutionchamber                       |      yes |
| zairus.megaloot.tileentity.MLTileEntitySkinTable                                                               | minecraft:tileentityskintable                              |      yes |
+----------------------------------------------------------------------------------------------------------------+------------------------------------------------------------+----------+
| Class                                                                                                          | Registry name                                              | Ticking? |
+----------------------------------------------------------------------------------------------------------------+------------------------------------------------------------+----------+
